predicted_drug,log_ratio_1,log_ratio_2,log_ratio_3,log_ratio_4,log_ratio_5,log_ratio_6,log_ratio_7,log_ratio_8,log_ratio_9,log_ratio_10,log_ratio_11,log_ratio_12,log_ratio_13,log_ratio_14,log_ratio_15,log_ratio_16,log_ratio_17,log_ratio_18,log_ratio_19,log_ratio_20,log_ratio_21,log_ratio_22,log_ratio_23,log_ratio_24,log_ratio_25,log_ratio_26,log_ratio_27,log_ratio_28,log_ratio_29,log_ratio_30,log_ratio_31,log_ratio_32,log_ratio_33,log_ratio_34,log_ratio_35,log_ratio_36,log_ratio_37,log_ratio_38,log_ratio_39,log_ratio_40,log_ratio_41,log_ratio_42,log_ratio_43,log_ratio_44,log_ratio_45,log_ratio_46,log_ratio_47,log_ratio_48,log_ratio_49,log_ratio_50,log_ratio_51,log_ratio_52,log_ratio_53
-5.7992077,-0.7709922999999996,-0.5816922999999994,-0.3216922999999996,-0.04089229999999944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.7979164,0.09891640000000024,0.8022163999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.79144,-0.16326000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.7800183,0.3399182999999999,0.46751830000000005,0.8660183000000004,1.0469182999999997,0.38761829999999975,0.7279182999999998,0.9087183000000003,0.7243183000000002,0.6516183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.7706957,-0.001404299999999914,0.030795700000000537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.728054,-0.7668460000000001,-1.0678459999999994,-0.8917459999999995,-0.8740459999999999,-0.21504600000000007,-1.4268459999999994,-1.1927459999999996,-1.1258460000000001,-0.38544599999999996,-1.4268459999999994,-1.2305459999999995,-1.1258460000000001,0.28795400000000004,0.7107540000000006,1.3307539999999998,0.9118539999999999,1.1898540000000004,1.1508539999999998,0.4699540000000004,0.8791539999999998,0.23315399999999986,-0.036445999999999756,1.007454,0.6139540000000006,0.48925399999999986,0.24525400000000008,0.6808540000000001,1.007454,1.200654,1.206054,0.48925399999999986,1.0308540000000006,1.0065540000000004,0.6139540000000006,1.2054540000000005,1.3309540000000002,0.24525400000000008,0.26965400000000006,0.8097539999999999,0.6134539999999999,0.8097539999999999,1.2058540000000004,1.3307539999999998,0.7107540000000006,0.8057540000000003,0.9343539999999999,1.1258540000000004,1.1898540000000004,0.8119540000000001,0.9118539999999999,1.0310540000000001,1.0310540000000001,1.0788539999999998
-5.7174063,-0.4192936999999999,-0.4252936999999992,-0.16529369999999943,-0.19619369999999936,-0.10649369999999969,-0.3002936999999992,-0.47639370000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.6748233,0.21392330000000026,0.9310232999999997,1.4301233,0.5624232999999998,1.0459233000000001,0.7445233,1.2364233000000002,0.8016233000000001,0.14762330000000023,0.36942330000000023,0.5002233,0.14762330000000023,0.9804233,0.6927232999999999,-0.4678766999999997,-0.24597669999999994,-0.09477669999999971,0.8392232999999996,1.0365232999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.670064,0.012463999999999587,0.2120639999999998,0.32166400000000017,0.3915639999999998,0.24606399999999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.6575346,0.25333459999999963,0.6352345999999995,0.7238346,0.6233345999999997,0.5287345999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.644117,-0.151783,0.30691699999999944,0.024316999999999922,0.7964169999999999,0.9684169999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.626191,0.5755910000000002,0.827591,1.1147910000000003,1.2812910000000004,1.2812910000000004,1.2954910000000002,1.300091,1.153791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.6253505,0.014550499999999467,0.4198504999999999,0.6139504999999996,0.49805049999999973,0.2992504999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
