EXP2-MAE,EXP3-MAE,EXP2-AE,EXP3-AE
,,0.341319337,0.269427076
,,0.031558069,0.098206552
,,0.150196553,0.084064484
,,0.109395905,0.146949692
,,0.115695905,0.153249692
,,0.178151481,0.223204963
,,0.359910712,0.400690779
,,0.448425562,0.505453856
,,0.280736471,0.373635316
,,0.193738118,0.24458231
,,0.24719955,0.271570697
,,0.757040017,0.348443502
,,0.352485353,0.499826128
,,0.861102816,0.458489176
,,0.034663274,0.085462167
,,0.340532012,0.176995463
,,1.063834116,0.821891711
,,0.352988978,0.399155875
,,0.053910106,0.021017701
,,0.154466435,0.050199792
,,0.53014807,0.298768084
,,0.574480835,0.538215939
,,0.113069713,0.067494691
,,0.023483044,0.11370731
,,0.265037463,0.006179259
,,0.109677569,0.220618502
,,1.063834116,0.821891711
,,0.038958803,0.095007196
,,0.352988978,0.399155875
,,0.616276923,0.671042624
,,0.81877778,0.865772943
,,0.488880982,0.561219086
,,1.061315939,0.807228014
