SMILES,predicted_value,value
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,-5.20142889,-5.6799
,-5.20142889,-5.6861
,-5.20142889,-5.5918
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,-5.514698982,-5.8447
,-5.218261242,-5.5834
,-5.20142889,-5.6925
,-5.154394627,-5.4449
CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,-4.893486977,-4.6091
,-4.926253319,-4.7423
,-5.521912575,-4.5452
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,-5.373388767,-4.5935
,-6.080575943,-6.2218
,-5.771404266,-5.9586
,-5.771404266,-5.4949
,-5.790352821,-5.7721
,-5.727086067,-5.7399
,-5.592895508,-5.7959
C[C@H](N)Cc1ccccc1,-5.577548504,-5.5528
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],-5.612080574,-5.9208
C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,-5.632990837,-5.3872
CN(C)CCCN1c2ccccc2Sc2ccccc21,-5.657967091,-5.8861
,-5.671583652,-5.5376
,-5.536344528,-5.5528
,-5.414081097,-5.4089
,-5.400199413,-5.3768
,-5.407029629,-5.7696
,-5.413281918,-4.8447
,-5.280727386,-5.3188
,-5.328937054,-5.1871
,-5.006271362,-5.3872
,-4.966814518,-5.5072
N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,-4.879014015,-5.4949
,-4.851732254,-5.5528
,-4.907550335,-5.2757
,-5.297452927,-4.8539
CC[N+](C)(C)Cc1ccccc1Br,-5.329909801,-4.9788
,-5.298224926,-4.9626
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-5.085655689,-4.8386
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,-5.127991199,-4.6696
,-5.280622005,-5.1367
,-5.301979542,-4.9101
,-5.310218811,-4.7011
,-5.310218811,-4.5436
,-5.321249962,-4.7305
,-5.320661545,-4.6162
N=C(N)N/N=C/c1c(Cl)cccc1Cl,-5.491585732,-5.757
,-5.532599449,-5.1481
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-5.532599449,-5.1798
CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1,-5.528707504,-5.9547
